name;short_name;streetAddress;department;province;district;area
ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO PROYECTO Q´OYLLOR;ONGD QOYLLOR;CALLE VICTOR LIRA 302, OFICINA 3;AREQUIPA;AREQUIPA;AREQUIPA;AMBIENTE / EDUCACIÓN / GÉNERO / SALUD
ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO QESPINA;;AV. TUPAC AMARU V6-B URB. PROGRESO;CUSCO;CUSCO;WANCHAQ;EDUCACIÓN / GÉNERO
ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO UNA LUZ EN EL CAMINO;ONGDULC;JR. LEONCIO PRADO 1486;HUANUCO;HUANUCO;HUANUCO;GÉNERO
ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO VIAJA PASCO;;JR.28 DE JULIO S/N, MZ. I LTE.121, ASENTAMIENTO HUMANO TÚPAC AMARU SECTOR 3;PASCO;PASCO;CHAUPIMARCA;AMBIENTE / EDUCACIÓN / GOBERNABILIDAD / PRODUCCIÓN / SALUD
ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO WORLD HUMANITARIAN RELIEF TO LATIN AMERICA;WHRLA;JR. MIGUEL ECHENIQUE 425;LIMA;LIMA;MAGDALENA DEL MAR;AMBIENTE / GÉNERO
ORGANIZACION NO GUBERNAMENTAL ECOLOGIA PRODUCTIVA PARA EL REJUVENECIMIENTO DE LA AMAZONIA;ECOPRA;JR. INMACULADA 150;UCAYALI;CORONEL PORTILLO;CALLERIA;AMBIENTE
ORGANIZACION NO GUBERNAMENTAL FEDERACION DE COMUNIDADES LABORALES, ASOCIACIONES Y MYPES DEL SUR DEL PERU;ONG FECLAME - SUR PERU;URB. CAMPIÑA DORADA B1 - AV. VIDAURRAZAGA;AREQUIPA;AREQUIPA;AREQUIPA;PRODUCCIÓN
ORGANIZACION NO GUBERNAMENTAL FUTURO SEGURO;ONG FUTURO SEGURO;Urb. Las Casuarinas II D-10;AREQUIPA;ISLAY;MEJIA;EDUCACIÓN / GÉNERO
ORGANIZACION NO GUBERNAMENTAL GROW GREEN;;Jr. Lima N° 433, Tercer Piso,;JUNIN;HUANCAYO;HUANCAYO;GÉNERO / GOBERNABILIDAD
ORGANIZACION NO GUBERNAMENTAL INSTITUTO DE DESARROLLO AGROECOLOGICO SOSTENIBLE;IDAS-PERU;JR. TARMA PASAJE SANTA CLARA 131;HUANUCO;HUANUCO;HUANUCO;AGROPECUARIO
ORGANIZACION NO GUBERNAMENTAL INSTITUTO MUNDIAL DE SANACION AYAHUASCA;ONG INMUSAA;JR. PURUS 198;UCAYALI;CORONEL PORTILLO;YARINACOCHA;EDUCACIÓN / GÉNERO
ORGANIZACION NO GUBERNAMENTAL MANTENIMIENTO AL DESARROLLO SOSTENIDO;;JR. CARLOS DE LOS HEROES 610 DPTO.9;LIMA;LIMA;PUEBLO LIBRE;PRODUCCIÓN
