name;short_name;streetAddress;department;province;district;area
A ROCHA PERU;;Calle Federico Gerdes 193 Urb. Las Lilas;LIMA;LIMA;SANTIAGO DE SURCO;AMBIENTE / EDUCACIÓN
ABBA INTERNATIONAL;;JR. AUGUSTO B. LEGUÍA N° 1211;SAN MARTIN;SAN MARTIN;TARAPOTO;GÉNERO
ACCION ANDINA O.N.G.D.;;JR. GARCILASO DE LA VEGA 755;AYACUCHO;HUAMANGA;AYACUCHO;AMBIENTE / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ACCION CRISTIANA INTEGRAL PARA EL DESARROLLO;ACID;AV. IQUITOS  Nº 900  CASTILLO GRANDE;HUANUCO;LEONCIO PRADO;RUPA-RUPA;EDUCACIÓN / GÉNERO / SALUD
ACCION HUMANITARIA SIN FRONTERAS;;JR. FRANCISCO CORNEJO 275;LIMA;LIMA;LOS OLIVOS;EDUCACIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ACCION PARA EL DESARROLLO DEL NIÑO Y LA MUJER;ADENIM;AV. ESTEBAN CAMPODONICO 224 - OF. 203;LIMA;LIMA;LA VICTORIA;EDUCACIÓN / GÉNERO
ACCION PARA LA GESTION Y EL DESARROLLO RURAL SOSTENIBLE DE PERU;AGEDRUS PERU;AV. HORACIO URTEAGA 1818, OFICINA 101;LIMA;LIMA;JESUS MARIA;AGROPECUARIO / COMERCIO Y TURISMO
ACCION POR LOS NIÑOS;;CALLE FELIX DIBOS 375, OFICINA 202;LIMA;LIMA;MAGDALENA DEL MAR;EDUCACIÓN / GÉNERO / GOBERNABILIDAD / SALUD
ACCION SOCIAL E INTEGRACION;ACSI;JR. IGNACIO SEMINARIO 169 ZONA B;LIMA;LIMA;SAN JUAN DE MIRAFLORES;EDUCACIÓN / GÉNERO / SALUD
ACCIÓN SOCIAL POR LA NIÑEZ Y POBLACIONES VULNERABLES - ASPNYPV;ASPNYPV;CALLE AREQUIPA 136;HUANUCO;HUANUCO;HUANUCO;EDUCACIÓN / GOBERNABILIDAD
ACCION SOCIAL Y DESARROLLO;ASDE;CALLE CAHUIDE 313;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;AGROPECUARIO / ECONOMÍA / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ACCION Y DESARROLLO;;JR. TIAHUANACO 654, 2do PISO - URB. ZARATE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;GÉNERO / GOBERNABILIDAD
ACCIONA ORG PERU;ACCIONA ORG PERU;JR. VON HUMBOLDT 245 - URB. SAN LUIS;CAJAMARCA;CAJAMARCA;CAJAMARCA;ENERGÍA/EXTRACTIVA
AGENCIA ADVENTISTA PARA EL DESARROLLO Y RECURSOS ASISTENCIALES - PERU;ADRA PERU;AV. ANGAMOS OESTE 770;LIMA;LIMA;MIRAFLORES;EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / SALUD
AGENCIA DE SERVICIOS ESTRATEGICOS PARA EL DESARROLLO URBANO REGIONAL;ASEDUR;CALLE BOLOGNESI 125 - OFICINA 1004;LIMA;LIMA;MIRAFLORES;GOBERNABILIDAD
AGENCIA INTERNACIONAL DE COOPERACION Y DESARROLLO;AICODE;URB. AVIENTEL MZ. C LOTE 9;LAMBAYEQUE;CHICLAYO;PIMENTEL;AMBIENTE / GÉNERO
AGENCIA TECNOLOGICA DE DESARROLLO INTEGRAL PRODUCTIVO;AGETEC;CALLE PACHACUTEC 790 URBANIZACION SANTA MARIA;LA LIBERTAD;TRUJILLO;TRUJILLO;AGROPECUARIO / AMBIENTE
AGRO INDUSTRIA;;CALLE TORRES PAZ  319 2DO. PISO;LAMBAYEQUE;CHICLAYO;CHICLAYO;AGROPECUARIO / CIENCIA Y TECNOLOGÍA
AGROSALUD DE UCAYALI;;JR. ATAHUALPA 728;UCAYALI;CORONEL PORTILLO;CALLERIA;AGROPECUARIO / AMBIENTE / GÉNERO / SALUD
AGRUPACION DE LIMITADOS FISICOS DE SAN JUAN DE DIOS, ORTOPEDIA Y BIOMECANICA EN GENERAL;ALFSJDIOS;AV. DEL ARQUE MZA. T. LT. 06 URB. PACHACAMAC;LIMA;LIMA;VILLA EL SALVADOR;SALUD
AGUA Y SANEAMIENTO PARA PERU;AGUASAN PERU;CALLE LA LADERA 205 - URB. LAS VIÑAS;LIMA;LIMA;LA MOLINA;VIVIENDA Y SANEAMIENTO
AHORA AYUDANOS AYUDAR A QUEMADOS;;Calle Agua Marina N°266 – Urb. La Huayrona;LIMA;LIMA;SAN JUAN DE LURIGANCHO;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL / JUSTICIA / SALUD / VIVIENDA Y SANEAMIENTO
AKUY UKUKU;;AV. FAUSTINO SANCHEZ CARRION 750, INTERIOR 1203;LIMA;LIMA;MAGDALENA DEL MAR;AMBIENTE / EDUCACIÓN
ALBA - TURISMO SUSTENTABLE;;CALLE 33 N°210, DPTO. 103 - URB. CORPAC ;LIMA;LIMA;SAN ISIDRO;AMBIENTE / GÉNERO
ALBERGUE DE LA IGLESIA SANTO MONTE DE JEHOVA;;CALLE PRIMAVERA 143 ANEXO DE VISTA ALEGRE;JUNIN;HUANCAYO;SAN AGUSTIN;GÉNERO
ALBERGUE INSPIRA;;JIRON LOS MANGLARES MZ C LOTE 13A URBANIZACION LOS OLIVOS;LIMA;LIMA;SANTIAGO DE SURCO;INCLUSIÓN SOCIAL / SALUD
ALDEAS INFANTILES SOS PERU - ASOCIACION NACIONAL;;CALLE RICARDO ANGULO 744 URB. CORPAC;LIMA;LIMA;SAN ISIDRO;GÉNERO
ALIADOS DE IMPACTO;;AV. NICOLÁS ARRIOLA N°314 INTERIOR 1101 URB. SANTA CATALINA;LIMA;LIMA;LA VICTORIA;PRODUCCIÓN
ALLIN TARPUCC;;Jr. Jorge Chavez Mz. 24 Lote 03;LIMA;LIMA;LURIN;EDUCACIÓN / INCLUSIÓN SOCIAL
ALLPANCHIS;;AV. PAZ SOLDAN 190;LIMA;LIMA;SAN ISIDRO;AMBIENTE
ALMA CAPAC;ALMA CAPAC;JR. CAMANA 381 - OFICINA 206;LIMA;LIMA;LIMA;GÉNERO / TRABAJO
ALTERNATIVA CENTRO DE INVESTIGACION SOCIAL Y EDUCACION POPULAR;;JR. EMETERIO PEREZ 348 - URBANIZACION INGENIERIA;LIMA;LIMA;SAN MARTIN DE PORRES;PRODUCCIÓN / SALUD / TRABAJO / VIVIENDA Y SANEAMIENTO
ALTERNATIVAS SOCIALES DE DESARROLLO - PERU;ASODE - PERU;JR. CABO GUTARRA  965;LIMA;LIMA;PUEBLO LIBRE;GÉNERO / SALUD
AMA - ASOCIACION INDIGENA DEL PERU;AMA;PASAJE MARTICORENA 106 2DO PISO ( REFERENCIA PARADERO LA LEGUA/UNCP, UNA CUADRA Y MEDIA ANTES DE FERROCARRIL);JUNIN;HUANCAYO;EL TAMBO;INCLUSIÓN SOCIAL
AMAGREENZONE;;JR. AVIACION NRO. 2-41;SAN MARTIN;SAN MARTIN;CHAZUTA;EDUCACIÓN / INCLUSIÓN SOCIAL
AMANTANI CCORCA;A CCORCA;URBANIZACION MARISCAL GAMARRA PASAJE LOS ROSALES 20 D;CUSCO;CUSCO;CUSCO;EDUCACIÓN / GÉNERO / SALUD
AMAS AL PERU;;AV. MANSICHE 385;LA LIBERTAD;TRUJILLO;TRUJILLO;EDUCACIÓN / GÉNERO
AMAZON FOREVER;;CARRETERA IQUITOS - NAUTA K.M. 13.8;LORETO;MAYNAS;BELEN;AMBIENTE / EDUCACIÓN
AMAZON KING INTERNATIONAL EDUCATIONAL CENTER - AKIEC;;Av. 21 N° 239 Dpto. 1208 (Edificio 10 – Girasoles) /;LIMA;LIMA;COMAS;AGROPECUARIO / AMBIENTE / GÉNERO / SALUD / TRABAJO
AMAZONIA SIN FRONTERAS;;Jr. Pucallpa 377;LORETO;MAYNAS;IQUITOS;AMBIENTE / EDUCACIÓN / SALUD
AMAZONICOS POR LA AMAZONIA;AMPA;Manzana N lote 1 urbanización vista Alegre;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;GOBERNABILIDAD
AMBIENTE Y FORESTA PERU;;Av. Roca y Bologna 251 (501);LIMA;LIMA;MIRAFLORES;CULTURA / EDUCACIÓN / GOBERNABILIDAD
AMOR SIN FRONTERAS JJJJ ONG;;Fundo Buenavista Av. Huaral – Chancay UC 101666 s/n (a 1 minuto de Torreblanca);LIMA;HUARAL;CHANCAY;SALUD
ANGELES DEL CAMINO;;Prolongación EMADIPERU Secc. 3 Mz. U Lote 6 Urb. G, Pedro Diez Canseco (Frente al Parque Pedro Diez Canseco);AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;EDUCACIÓN / INCLUSIÓN SOCIAL / JUSTICIA / SALUD
APEGA: SOCIEDAD PERUANA DE GASTRONOMIA - ASOCIACION CIVIL;APEGA - ASOCIACION CIVIL;JR.DIEGO GAVILAN Nº 126;LIMA;LIMA;MAGDALENA DEL MAR;EDUCACIÓN
APES MISIONES RURALES;;JR. SANTORIN 258 URB. EL VIVERO;LIMA;LIMA;SANTIAGO DE SURCO;CIENCIA Y TECNOLOGÍA / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD / VIVIENDA Y SANEAMIENTO
APORTES PARA EL DESARROLLO HUMANO;APORTES;JR. LARRABURE Y UNANUE 231, OFICINA 903;LIMA;LIMA;JESUS MARIA;EDUCACIÓN / GÉNERO
APOYARTE PERU;;CALLE JUAN VELASCO ALVARADO MZ. 06, LOTE 19 SECTOR II, C.P. EL MILAGRO;LA LIBERTAD;TRUJILLO;HUANCHACO;EDUCACIÓN / GÉNERO
APOYO A PROGRAMAS DE POBLACION - APROPO;APROPO;AV. CANAVAL Y MOREYRA 345 PISO 3;LIMA;LIMA;SAN ISIDRO;CIENCIA Y TECNOLOGÍA / EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / SALUD
APOYO SOCIAL Y DESARROLLO AGRARIO SALUD Y SONRISAS - ASDAS Y SONRISAS;;Asentamiento Humano Pan con Libertad Mz. B Lote 11 ;LIMA;LIMA;SAN MARTIN DE PORRES;AGROPECUARIO / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / GOBERNABILIDAD / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD
APOYO SOCIAL, PREVENCION DE DESASTRES Y MEDIO AMBIENTE - ASPRED;;CALLE MANCO CAPAC 188;LA LIBERTAD;TRUJILLO;HUANCHACO;EDUCACIÓN / SALUD
APRENDA ASOCIACION PARA EL DESARROLLO SOSTENIBLE;;Avenida Manuel Olguín 325, Piso 12 ;LIMA;LIMA;SANTIAGO DE SURCO;EDUCACIÓN / PRODUCCIÓN
APRENDIENDO A TRANSITAR;;CALLE SAN ALBERTO 253, JOSE CARLOS MARIATEGUI;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;EDUCACIÓN
AQUI ESTAMOS;;JIRON LOS MELONES 381 - URB. RESIDENCIAL DE MONTERICO;LIMA;LIMA;LA MOLINA;EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ARBIO-AMAZONIA;ARBIO;Mz. A Lote 8 Urb. Paso Chico;LIMA;LIMA;LURIN;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ARCE ROJO;;CALLE 24 DE ABRIL 452-B FLORENCIA DE MORA - TRUJILLO;LA LIBERTAD;TRUJILLO;TRUJILLO;EDUCACIÓN
AREAS COSTERAS Y RECURSOS MARINOS - ACOREMA;;CALLE SAN FRANCISCO 253, OFICINA 201-B;ICA;PISCO;PISCO;AMBIENTE / EDUCACIÓN
ARPEGIO;;CALLE  ALCIDES CARRION 209, 13001;LA LIBERTAD;TRUJILLO;TRUJILLO;AMBIENTE / GOBERNABILIDAD
ASIS PERU INTERNACIONAL;;JIRON FRANCISCO LAZO 1815, PISO 2, INTERIOR B;LIMA;LIMA;LINCE;EDUCACIÓN / GOBERNABILIDAD
ASOCIACION  CULTURAL TURISTICA Y ASISTENCIA SOCIAL HUACACHINA OASIS DE AMERICA;ACTASH;AV. AREQUIPA 4971 DPTO 103-B;LIMA;LIMA;MIRAFLORES;COMERCIO Y TURISMO / EDUCACIÓN
ASOCIACION + EDUCACION + CULTURA;;CALLE LOS ANTARES N° 320, OFICINA 907, TORRE B CENTRO EMPRESARIAL EL NUEVO TRIGAL;LIMA;LIMA;SANTIAGO DE SURCO;CULTURA / EDUCACIÓN
ASOCIACION AEROPLANO AUDIOVISUAL;;AV. HUSARES DE JUNIN 945 , DPTO. 601;LIMA;LIMA;JESUS MARIA;SALUD
ASOCIACION AGAPE;;CALLE LAS ESMERALDAS 417- URB. BALCONCILLO;LIMA;LIMA;LA VICTORIA;GÉNERO
ASOCIACION AGLA;;JR. LOS QUIPUS 121 URB. PAUCARBAMBA;HUANUCO;HUANUCO;AMARILIS;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ASOCIACION AGRO FORESTAL AMIGOS DEL PLANETA;;AV. CAHUIDE 122;APURIMAC;ABANCAY;ABANCAY;AMBIENTE
ASOCIACION AGROFORESTAL PARA COMBATIR EL CAMBIO CLIMATICO QUIQUIA-ROJAS SANTA ROSA DE LUICHSH - AAPCCC-QRSRL;;CASERIO SANTA ROSA DE LUICHOSH MZ. L LOTE 5;JUNIN;TARMA;SAN PEDRO DE CAJAS;EDUCACIÓN
ASOCIACION AGROPECUARIA FLOR DE LA ESPERANZA SECTOR PAREDONES - MORROPE;;JR. ANDRES RAZURI 898 - PUEBLO JOVEN SANTA ROSA;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;AMBIENTE
ASOCIACION AGUSTIN CAUPER VIDEIRA;AGCAVI;JR. TAPICHE 896;UCAYALI;CORONEL PORTILLO;YARINACOCHA;EDUCACIÓN / GÉNERO / JUSTICIA
ASOCIACION ALLIN KAWSANAPAQ;;AV. EDUARDO DE HABICH 462, 3° PISO URB. INGENIERIA;LIMA;LIMA;SAN MARTIN DE PORRES;EDUCACIÓN / GÉNERO
ASOCIACION ALLIN KAWSAY;;JR. SANTA ANA 720;CUSCO;CANCHIS;SICUANI;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ASOCIACION ALLPA PARA LA COOPERACION Y EL DESARROLLO SOSTENIBLE;;JR. ANCASH 635;ANCASH;HUARI;HUARI;GOBERNABILIDAD
ASOCIACION AMAZONIA VIDA KAKIRI;;CALLE:LAGUNAS – 162;LORETO;MAYNAS;SAN JUAN BAUTISTA;EDUCACIÓN / GOBERNABILIDAD / SALUD
ASOCIACION AMICI DEL PERU;AMICI DEL PERU;APV FEDETAC D-16 SAN SEBASTIAN;CUSCO;CUSCO;SAN SEBASTIAN;EDUCACIÓN / GÉNERO
ASOCIACION ANDARES-PERU;;LOS CIPRESES 261;LIMA;LIMA;SAN ISIDRO;EDUCACIÓN
ASOCIACION ANDINA DE DESARROLLO SOSTENIBLE;ANDES;JR. AUGUSTO B. LEGUIA 375;ANCASH;HUARAZ;HUARAZ;AGROPECUARIO / AMBIENTE / GÉNERO
ASOCIACION APOYO AL DESARROLLO INTEGRAL SOSTENIDO;;JR. ALFONSO LA TORRE 371 URB. HORACIO CEBALLOS;CAJAMARCA;CAJAMARCA;CAJAMARCA;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL
ASOCIACION ARARIWA PARA LA PROMOCION TECNICO CULTURAL ANDINA;ASOCIACION ARARIWA;AV. LOS INCAS 1606;CUSCO;CUSCO;WANCHAQ;AMBIENTE / GÉNERO / PRODUCCIÓN / SALUD
ASOCIACION ARCO IRIS;;JR. CARLOS VALENZUELA GUARDIA 1265;ANCASH;HUARAZ;HUARAZ;AGROPECUARIO / SALUD / TRABAJO
ASOCIACION AREQUIPA SILVESTRE - AQP SILVESTRE;AQP SILVESTRE;URB. VILLA CONTINENTAL Ñ 23;AREQUIPA;AREQUIPA;CAYMA;EDUCACIÓN
ASOCIACION ARUKI;;Calle Pucala Nª146 Urb. Residencial Maranga;LIMA;LIMA;SAN MIGUEL;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ASOCIACION ATION ORG;;Av. Javier Prado Este N° 6210 Int. 205 Urb. la Rivera de Monterrico II Etapa;LIMA;LIMA;LA MOLINA;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ASOCIACION ATISUN;;ASOCIACION LOS CIPRESES MZ. B7 LOTE 12;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;AMBIENTE / EDUCACIÓN
ASOCIACION ATREVETE;;CALLE MARCELO CORNE 231 DPTO. 501 EDIFICIO CENTRAL PARK;LA LIBERTAD;TRUJILLO;TRUJILLO;EDUCACIÓN / GÉNERO
ASOCIACION AYNIY LATINOAMERICA;;CALLE DANIEL ALCIDES CARRION 247 - URB. SANTA CLARA;LIMA;LIMA;ATE;AMBIENTE / CIENCIA Y TECNOLOGÍA
ASOCIACION AYUDA PERU SOLIDARIA - AYUDA PERU SOL; AYUDA PERU SOL;Calle Las Violetas 148 – Dpto. 2 / Urb. Jardines de Virú ;CALLAO;CALLAO;BELLAVISTA;AGROPECUARIO / AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / JUSTICIA / SALUD / TRABAJO / VIVIENDA Y SANEAMIENTO
ASOCIACION BARTOLOME ARIPAYLLA;ABA - AYACUCHO;JR. LOS PINOS MZ. V LOTE 3 - CENTRO POBLADO DE QUICAPATA;AYACUCHO;HUAMANGA;CARMEN ALTO;AMBIENTE / GÉNERO / PRODUCCIÓN
ASOCIACION BELLA VISTA INNOVA ONG;;CALLE COMERCIO N° 261 ;PIURA;SECHURA;BELLAVISTA DE LA UNION;AGROPECUARIO / AMBIENTE / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ASOCIACION BENEFICA ALIANZA POR EL BIEN COMUN;;AV LOS CLAVELES MZ P LT 4 ;LIMA;LIMA;LURIN;EDUCACIÓN
ASOCIACION BENEFICA MARIA ECHEVARRIA SAONA;;PROLONGACION SAENZ PEÑA MZ. D LTE. 11 SECTO C, LADERAS DE PACHACAMAC;LIMA;LIMA;PACHACAMAC;SALUD
ASOCIACION BENEFICA PRISMA;PRISMA;AV. GUARDIA CIVIL 1321, OF. 1501;LIMA;LIMA;SURQUILLO;AGROPECUARIO / INCLUSIÓN SOCIAL / SALUD
ASOCIACION BENEFICA RUWASUNCHIS;RUWASUNCHIS;SERGIO BERNALES 234 - 240  DPTO 1403;LIMA;LIMA;SURQUILLO;AMBIENTE / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ASOCIACION BENEFICA SOLIDARIA CARDIOSALUD-ORGANISMO NO GUBERNAMENTAL;CARDIOSALUD - ONG;AV. BOLOGNESI 120;AREQUIPA;AREQUIPA;YANAHUARA;AMBIENTE / SALUD
ASOCIACION BENEFICO CRISTIANA PROMOTORA DE DESARROLLO INTEGRAL;ABC PRODEIN;CALLE SAN ANDRES  321;CUSCO;CUSCO;CUSCO;EDUCACIÓN
ASOCIACION BIEN POR BIEN;;Calle Los Halcones102, Urb. Limatambo;LIMA;LIMA;SURQUILLO;INCLUSIÓN SOCIAL / PRODUCCIÓN
ASOCIACION BIO MODUS TROPICAL;;CALLE HUANCAVELICA N°181 DPTO N°201 SANTA PATRICIA;LIMA;LIMA;LA MOLINA;EDUCACIÓN
ASOCIACION BIOSELVA PERU;BIOSELVA;CALLE ATANASIO JAUREGUI 104;LORETO;ALTO AMAZONAS;YURIMAGUAS;AGROPECUARIO / INCLUSIÓN SOCIAL / PRODUCCIÓN
ASOCIACION BUENA EDUCACION;;AV. MONTE LOS OLIVOS 854 - URB. PROLONGACION BENAVIDES;LIMA;LIMA;SANTIAGO DE SURCO;EDUCACIÓN
ASOCIACION CAMPESINA FORESTAL;; Comunidad Campesina de Sacllo s/n ;CUSCO;CALCA;CALCA;AMBIENTE / EDUCACIÓN
ASOCIACION CAPACIDADES PARA EL DESARROLLO;CAPACIDADDES;CALLE SAENZ PEÑA 349. DPTO 602;LIMA;LIMA;MAGDALENA DEL MAR;AMBIENTE / GOBERNABILIDAD
ASOCIACION CARCELERIA LIDERES AL SERVICIO DE LA COMUNIDAD;;JR. INDEPENDENCIA 504 - P.J.U. EL PROGRESO;ANCASH;SANTA;CHIMBOTE;GÉNERO
ASOCIACION CARIDAD Y SOLIDARIDAD PARA EL BIENESTAR DEL ADULTO MAYOR;;URB. EL PARQUE DE MONTERRICO CALLE LOS GIRASOLES MZ. A-16;LIMA;LIMA;ATE;GÉNERO
ASOCIACION CARITAS FELICES DE ILO;;CIUDAD JARDIN CALLE LOS NARDOS J-10;MOQUEGUA;ILO;PACOCHA;EDUCACIÓN / SALUD
ASOCIACION CARITAS FELICES POR LA SALUD Y EL BIENESTAR;ACAFESABI;AV.PAUL HARRIS 1230;LAMBAYEQUE;CHICLAYO;LA VICTORIA;SALUD
ASOCIACION CASA DE LA MUJER CARMELITANA;;BARRIO UPIS MZ M LT 1;ICA;CHINCHA;EL CARMEN;GÉNERO
ASOCIACION CASA RONALD MCDONALD DE PERU;;AV OLAVEGOYA 1980 - JESUS MARIA;LIMA;LIMA;JESUS MARIA;EDUCACIÓN / GÉNERO
ASOCIACION CASAS DE LA MISERICORDIA;;AV. LAS FLORES N°119 - 114 - URB. SANTA MARÍA - CHOSICA.;LIMA;LIMA;LURIGANCHO;EDUCACIÓN / GÉNERO / SALUD
ASOCIACION CASAS DE LA SALUD;;AA.HH VIRGEN ASUNTA  A-8;ICA;ICA;SUBTANJALLA;EDUCACIÓN / SALUD
ASOCIACION CENTRO DE APOYO PARA EL DESARROLLO SOSTENIBLE DE LAS COMUNIDADES CAMPESINAS DEL PERU BOSQUE DORADO - CADES PERU;;AV. 28 DE JULIO 85, ANEXO DE PACHA;JUNIN;HUANCAYO;EL TAMBO;EDUCACIÓN
ASOCIACION CENTRO DE EDUCACION, ORGANIZACION Y PROMOCION DEL DESARROLLO ILO;ASOCIACION CEOP ILO;NUEVA VICTORIA MZ. H S/N PAMPA INALAMBRICA;MOQUEGUA;ILO;ILO;EDUCACIÓN
ASOCIACION CENTRO DE ESTUDIOS Y PROMOCION DEL DESARROLLO ANDINO AMAZONICO - DESCOCENTRO;;PSJE. VERSALLES 274;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;EDUCACIÓN / GOBERNABILIDAD
ASOCIACION CENTRO DE ESTUDIOS Y PROYECTOS SOCIALES PARA CON LAS COMUNIDADES DE APURIMAC PERU;ACEPSOCCA;JR. URUGUAY 112 URB.LAS AMERICAS;APURIMAC;ABANCAY;ABANCAY;AGROPECUARIO
ASOCIACION CENTRO DE INNOVACION CIENTIFICA AMAZONICA;ACINCIA;AV. UCAYALI, Manzana 4-z, Lote 9-A;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AMBIENTE / CIENCIA Y TECNOLOGÍA
ASOCIACION CENTRO DE REHABILITACION PARA PERSONAS CON DISCAPACIDAD WASI ESPERANZA;WASI ESPERANZA;JR. CHORRO Nº 249;AYACUCHO;HUAMANGA;AYACUCHO;EDUCACIÓN / INCLUSIÓN SOCIAL / JUSTICIA
ASOCIACION CHICO LATINO;;CALLE HIPOLITO TUPAC AMARU V1-15 A URB. TUPAC AMARU;CUSCO;CUSCO;SAN SEBASTIAN;EDUCACIÓN / GÉNERO
ASOCIACION CHOQUE AUQUI;;MZ. O LOTE 45 3RA ETAPA - URB. PACHACAMAC;LIMA;LIMA;VILLA EL SALVADOR;AMBIENTE / SALUD
ASOCIACION CHUYMA DE APOYO RURAL;CHUYMA ARU;JR. LA OROYA 114;PUNO;PUNO;PUNO;AGROPECUARIO / AMBIENTE / EDUCACIÓN / GOBERNABILIDAD / PRODUCCIÓN / SALUD
ASOCIACION CIENTIFICA DE EMPRENDEDORES EN SEGURIDAD Y SALUD OCUPACIONAL;ASCEMSSO;JR. MIGUEL DE CERVANTES 162 URB. GONZALES;JUNIN;HUANCAYO;EL TAMBO;EDUCACIÓN / SALUD
ASOCIACION CIUDAD PARAISO ECOLOGICO DE PARACAS;CIUDAD-PEP;AV. CUBA  226;LIMA;LIMA;JESUS MARIA;AMBIENTE
"ASOCIACION CIVIL ""AUN HAY ESPERANZA""";;PASAJE SAUL MUÑOZ MENACHO 130;JUNIN;HUANCAYO;HUANCAYO;EDUCACIÓN / JUSTICIA / SALUD
ASOCIACION CIVIL ABONOS DE ESPERANZA;;Calle Manuel Miota N°320;LIMA;LIMA;MIRAFLORES;EDUCACIÓN / PRODUCCIÓN
ASOCIACION CIVIL ALIANZA ARKANA;;JR. AGUAYTÍA 560;UCAYALI;CORONEL PORTILLO;YARINACOCHA;AMBIENTE / GOBERNABILIDAD
ASOCIACION CIVIL ALIANZA PARA EL DESARROLLO TUMI;ADTUMI;JR. LIBRA 1042 - URB. MERCURIO;LIMA;LIMA;LOS OLIVOS;AGROPECUARIO / CIENCIA Y TECNOLOGÍA / COMERCIO Y TURISMO / ECONOMÍA / EDUCACIÓN / GÉNERO / GOBERNABILIDAD / PRODUCCIÓN / SALUD / TRABAJO / VIVIENDA Y SANEAMIENTO
"ASOCIACION CIVIL AUTONOMA Y SIN FINES DE LUCRO: ORGANISMO NO GUBERNAMENTAL DE DESARROLLO ""MEJORANDO VIDAS""";ONG-D MV;"CIUDAD MAGISTERIAL MZ.""F"" LOTE 5 - AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA";AYACUCHO;HUAMANGA;AYACUCHO;AMBIENTE / EDUCACIÓN
ASOCIACION CIVIL BRAZOS DEL PADRE;;CALLE CAJAMARCA 691;CAJAMARCA;JAEN;JAEN;GÉNERO
ASOCIACION CIVIL BRIGADA DE SALVAMENTO Y RESCATE LOS CHINCHAS;;AV. NICOLAS DE PIEROLA 661, OFICINA 201;LIMA;LIMA;LIMA;EDUCACIÓN / GÉNERO
ASOCIACION CIVIL CENTRO DE CULTURA POPULAR LABOR;CENTRO LABOR;JR. JUNIN 266;PASCO;PASCO;CHAUPIMARCA;CULTURA / EDUCACIÓN / GÉNERO
ASOCIACION CIVIL CENTRO DE DESARROLLO ANDINO SISAY;;"URB. EMADI MZ. ""L"" LOTE 6";AYACUCHO;HUAMANGA;AYACUCHO;AGROPECUARIO / GÉNERO
ASOCIACION CIVIL CENTRO DE ESTUDIOS SOLIDARIOS AMAZONICOS;CESA;CALLE SIMON BOLIVAR 1616;CAJAMARCA;JAEN;JAEN;GÉNERO
ASOCIACION CIVIL CENTRO DE INVESTIGACION DE DESARROLLO LOCAL - CIDEL;;PASAJE AYANCACOCHAN 148;HUANUCO;HUANUCO;HUANUCO;GÉNERO / SEGURIDAD / TRABAJO
ASOCIACION CIVIL CENTRO DE PROMOCION PARA LA INVERSION EN EL DESARROLLO - CPINDE;;JR. SAPOSOA 203;SAN MARTIN;SAN MARTIN;TARAPOTO;AGROPECUARIO / AMBIENTE
ASOCIACION CIVIL CHIBOLITO;;JR. ETEN 238;CAJAMARCA;CAJAMARCA;CAJAMARCA;GÉNERO
ASOCIACION CIVIL COMUNIDAD ECOTURISTICA SISAYACU PONGO DE CAYNARACHI-LAMAS-REGION SAN MARTIN PERU;;Av. Jorge Chávez 984;SAN MARTIN;SAN MARTIN;TARAPOTO;AMBIENTE
ASOCIACION CIVIL CONSULTORIA EDUCATIVA URPI;ACCE URPI;Av. 17 de noviembre N°221;LIMA;LIMA;INDEPENDENCIA;EDUCACIÓN / SALUD
